"Species","Area","Units","Country","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006"
"HKE","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.01
"HKE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,672.9,622,624
"HLT","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,0.6,0,0,0,0
"LIN","27.2.a","TLW","FO",16.668,17.806,14.608,7,7,19,6,10,10,22,18,9
"HOM","27.2.a_NK","TLW","FR",0,0,0,0,0,0.03,0,0,0,0,0,0
"HOM","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,572.1,0,28
"PLA","27.2","TLW","RU",1079,609,905,627,640,339,226,252,284,398,328,586
"HYD","27.2.a_NK","TLW","FR",0,0,0,0.04,0.06,0.09,0.14,0,0,1.1,1.1,0.5
"ISC","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,4.6,0,0
"KCD","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,250.7,153,3
"LIN","27.2.a_NK","TLW","FO",16.668,17.806,14.608,7,7,19,6,10,10,22,18,9
"LBE","27.2.a_NK","TLW","FR",0,0,0,0.07,0,0.18,0,0,0,0,0,0
"LBE","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0.5,0,0,0,0,0
"LBE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,19.9,21,29
"LEM","27.2.a_NK","TLW","DE",0,0,0,0,0,0,0,0,0,0,0,0.01
"LIN","27.2.b","TLW","FO",0,0,0.114,0,0,0,5,0,0,1,1,0
"LEM","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.02
"LEM","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,14,15,24
"LEZ","27.2.a_NK","TLW","FR",0,0,0.02,0.27,0.05,0.04,0.05,0,0,1.1,1.1,0.1
"LIN","27.2.a_NK","TLW","DE",0,0,0,3.07,7.34,0,0,0,0,0,6.7,5.9
"LIN","27.2.b_NK","TLW","FO",0,0,0.114,0,0,0,5,0,0,1,1,0
"LIN","27.2.a_NK","TLW","FR",0,0,4.91,12.95,8.91,5.68,4.12,3,4.9,5.8,5.6,7.7
"LIN","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,7
"LIN","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,0,0,0,1.5,0.1
"LIN","27.2.a_NK","TLW","IS",0,0,0,0,0,0,2,0,0,0,0.1,0.01
"LIN","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,11041.3,9966,8685
"LIN","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,0,0,0,1,0
"PLA","27.2.a","TLW","RU",7,11,5,19,4,6,9,3,9,8,33,8
"LUM","27.2","TLW","FO",0,0,0,0,1,0,0,0,0,30,0,0
"LUM","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,3781.2,2006,1870
"PLA","27.2.a.2","TLW","RU",7,0,0,0,0,0,0,0,0,0,0,0
"MAC","27.2.a_NK","TLW","DE",0,0,779.63,0,74.08,0,0,0,0,0,6.5,0
"LUM","27.2.a","TLW","FO",0,0,0,0,1,0,0,0,0,25,0,0
"MAC","27.2.a_NK","TLW","FR",0,0,35.89,0,0,0.16,0,0,0,0,0,0
"MAC","27.2.a_NK","TLW","IS",0,0,0,0,0,0,20009,52898.8,0,2497,37.2,0
"MAC","27.2.a_NK","TLW","NL",0,0,0,0,0,0,0,0,10,59,9,2
"MAC","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,3473.1,493,8915
"PLA","27.2.a_NK","TLW","RU",0,11,5,19,4,6,9,3,9,8,33,8
"MEG","27.2.a_NK","TLW","FR",0,0,0.49,1.48,0.62,0.56,0.42,0.6,0.8,0,0,0
"MEG","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.02
"MGR","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.05,0,0,0,0,0
"MLR","27.2.a_NK","TLW","FR",0,0,0,0,0,0.16,0,0,0,0,0,0
"MNZ","27.2.a_NK","TLW","FR",0,0,3.46,6.14,2.3,2.48,0.98,0,0,0.2,0.2,1.3
"MOD","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.2,0,0.01
"MOL","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.2,0,2
"LUM","27.2.a_NK","TLW","FO",0,0,0,0,1,0,0,0,0,25,0,0
"MON","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,86
"MON","27.2.a_NK","TLW","IS",0,0,0,0,0,0,7,0,0,0,0,0
"MON","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,3998.7,4455,4253
"MON","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,1,6,2,0,0
"MUR","27.2.a_NK","TLW","FR",0,0,0.03,0,0,0,0,0,0,0,0.1,0
"MZZ","27.2.a_NK","TLW","FR",0,0,0.1,0.01,0,0.15,20.55,1.9,3.5,1.9,1.9,26.7
"MZZ","27.2.a_NK","TLW","NL",0,0,0,0,0,0,0,3,184,36,104,11
"NEP","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.08,0,0,0,0,0
"NEP","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,29.2,21,18
"NOP","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,10,714
"PDZ","27.2.a_NK","TLW","ES",0,0,0,0,0,0,0.65,0,0,0,0,0
"PIL","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.3,0,0
"PLA","27.2.a_NK","TLW","ES",0,0,0,0,0,0,0,0,1.5,5,0,0
"LUM","27.2.b","TLW","FO",0,0,0,0,0,0,0,0,0,5,0,0
"PLA","27.2.a_NK","TLW","FR",0,0,0.2,0.08,0.01,0.02,0,0,0,0,0,0
"PLA","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,1,10,2,0.01,0
"PLA","27.2.b","TLW","RU",1072,598,900,608,636,333,217,249,275,390,295,578
"LUM","27.2.b_NK","TLW","FO",0,0,0,0,0,0,0,0,0,5,0,0
"PLE","27.2.a_NK","TLW","FR",0,0,0,0,0,0.02,0,0,0,0,0,0
"PLE","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.02
"PLE","27.2.a_NK","TLW","IS",0,0,0,0,0,0,1,0,0.2,0,0,0
"PLE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,604.9,643,712
"PLZ","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,12,19,17
"POC","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,22
"POK","27.2.a_NK","TLW","DE",0,0,0,257.61,1205.02,0,0,0,0,0,2968.4,2760.3
"POK","27.2.a_NK","TLW","ES",0,0,0,0,0,0,1.9,7.7,2,16,21.8,0
"MAC","27.2","TLW","FO",54807,52689.885,68452,95795,108868,81164,86315,60271,830,2751,241,1470
"POK","27.2.a_NK","TLW","FR",0,0,513.14,1655.93,1900.27,780.55,496.99,657,376,993.1,950.1,897.4
"POK","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,516
"POK","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,1.1,8,1.7,0.8,7
"POK","27.2.a_NK","TLW","IS",0,0,0,0,0,0,65,123.8,69,113,213.1,254.9
"POK","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,146510.7,152847,182239
"POK","27.2.a_NK","TLW","PL",0,0,0,0,0,0,0,278.9,30.3,65.8,99.3,85.4
"POK","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,93,178,308,391,73.5
"PLA","27.2.b.2","TLW","RU",1072,0,0,0,0,0,0,0,0,0,0,0
"POL","27.2.a_NK","TLW","DE",0,0,0,0,1.05,0,0,0,0,0,2.2,0.01
"MAC","27.2.a","TLW","FO",54807,52689.885,68452,95795,108868,81164,86315,60271,830,2751,241,1470
"POL","27.2.a_NK","TLW","FR",0,0,0.01,8.75,0.01,0.15,0.06,2.5,0,247.9,247.9,0
"POL","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,1.01
"POL","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,1974.8,2340,2295
"MAC","27.2.a_NK","TLW","FO",54807,52689.885,68452,95795,108868,81164,86315,60271,830,2751,241,1470
"POR","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,0,0,0,0.1,0
"POR","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,7.5,7,25
"MON","27.2","TLW","FO",1.175,0.844,0.523,1,1,0,0,1,2,4,7,4
"PRA","27.2.a_NK","TLW","IS",0,0,0,0,0,0,1,0,0,0,0,0
"PRA","27.2.a_NK","TLW","LT",0,0,0,0,0,0,0,0,0,116.8,0,0
"PRA","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,888.8,1048,961
"QSC","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.01,0,0
"RAJ","27.2.a_NK","TLW","FR",0,0,0,0,0,0.01,0.05,0,0,0,0,0
"REB","27.2.a_NK","TLW","EE",0,0,0,0,0,0,0,0,0,0,684.1,395.8
"REB","27.2.a_NK","TLW","ES",0,0,0,0,0,0,1648.19,1178,0,87,0,0
"REB","27.2.a_NK","TLW","IS",0,0,0,0,0,0,0,0,24.6,9,15.5,2.9
"REB","27.2.a_NK","TLW","LV",0,0,0,0,0,0,0,0,0,0,349,341
"REB","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,1058.9,1824,2788
"REB","27.2.a_NK","TLW","PL",0,0,0,0,0,0,0,0.7,337.4,0,1079.8,2446.6
"REB","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,244,735,641,0,0
"PLA","27.2.b_NK","TLW","RU",0,598,900,608,636,333,217,249,275,390,295,578
"RED","27.2.a_NK","TLW","DE",0,0,230.61,411.42,23.84,0,0,0,0,0,574,2510
"RED","27.2.a_NK","TLW","ES",0,0,0,0,0,0,0,6.2,10.6,44,189,0
"MON","27.2.a","TLW","FO",1.175,0.844,0.523,1,1,0,0,1,2,4,7,4
"RED","27.2.a_NK","TLW","FR",0,0,101.92,416.96,342.64,181.89,226.29,226.1,21.6,234.5,241,206.7
"RED","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,997
"RED","27.2.a_NK","TLW","IS",0,0,0,0,0,0,2,0,0,0,1447,2510
"RED","27.2.a_NK","TLW","LT",0,0,0,0,0,0,0,0,0,0,785,845
"RED","27.2.a_NK","TLW","LV",562.17,1242.76,538.35,214.8,279.84,446.9,0,242.7,54,266.7,0,0
"RED","27.2.a_NK","TLW","NL",0,0,0,0,0,0,0,0,1,15,20,21
"RED","27.2.a_NK","TLW","PL",0,0,0,0,0,311.44,0,0,0,1.2,0,20
"RED","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,28,80,92,1465,1789.6
"POK","27.2","TLW","RU",12395,11746,12074,12058,14133,13101,9061,13057,11158,10993,11571,8601
"REG","27.2.a_NK","TLW","IS",0,0,0,0,0,0,20,0,60.1,27,68,30.7
"REG","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,5062.7,5420,5605
"POK","27.2.a","TLW","RU",11953,11586,11941,11951,14048,13047,9031,13047,11105,10932,11499,8414
"RHG","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,0,0,0,0.01,0
"RHG","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,34.5,31,66
"POK","27.2.a.2","TLW","RU",11953,0,0,0,0,0,0,0,0,0,0,0
"RJB","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.09,0,0,0.4,0,2.1
"RJB","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,2.3,7,3
"RJC","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,0,0,0.6,0.6,0
"RJE","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,1.7,0,0,0,0
"RJR","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.92,0,0,0,0,0
"RJR","27.2.a_NK","TLW","IS",0,0,0,0,0,0,2,0,0,0,0,0
"RNG","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,6.8,9,4
"POK","27.2.a_NK","TLW","RU",0,11586,11941,11951,14048,13047,9031,13047,11105,10932,11499,8414
"SAL","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.7,0.01,326
"SAN","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,0.01
"SCE","27.2.a_NK","TLW","FR",0,0,0,0,0,0.43,13.93,21.2,17.8,0,0,0
"SCE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,899.3,866,799
"SCO","27.2.a_NK","TLW","ES",0,0,0,0,0,0,0.92,0,0,0,0,0
"SCR","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.78,0,0,0,0,0
"SCX","27.2.a_NK","TLW","LT",0,0,0,0,0,0,0,0,0,0,0,1
"SCX","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,1
"SDV","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,0,0,0.1,0.1,0
"SFV","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,0,0,0,5.9,12.6
"MON","27.2.a_NK","TLW","FO",1.175,0.844,0.523,1,1,0,0,1,2,4,7,4
"SKA","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0,1.1,0.5,2.3,2.5,4.5
"SKA","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,4.01
"SKA","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,0,0,0,0.7,0
"SKA","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,208.4,171,136
"SKA","27.2.a_NK","TLW","PT",0,0,0,0,0,0,0,0,0,2,0,0
"POK","27.2.b","TLW","RU",442,160,133,107,85,54,30,10,53,61,72,187
"SOL","27.2.a_NK","TLW","FR",0,0,0,0,0,0.7,0,0,0,0,0,0
"SPR","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,4,0
"SPU","27.2.a_NK","TLW","FR",0,0,0,0,0,0,0.05,0,0,0,0,0
"SQE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.6,0.01,0
"SQU","27.2.a_NK","TLW","DE",0,0,0,0,0,0,0,0,0,0,0.2,0
"TRS","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,9
"TUR","27.2.a_NK","TLW","FR",0,0,0,0,0,0.01,0,0,0,0,0,0
"TUR","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.01
"TUR","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,5.5,7,6
"URC","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0.9,2,3
"USB","27.2.a_NK","TLW","FR",0,0,0,0,0,0.01,0,0,0,0,0,0
"USK","27.2.a_NK","TLW","DE",0,0,0,0.61,3.04,0,0,0,0,0,0.1,0.3
"PLA","27.2","TLW","FO",0.53,0.195,0.786,0,0,70,0,0,0,0,0,0
"USK","27.2.a_NK","TLW","FR",0,0,4.76,9.1,6.82,6.18,5.81,6.1,1.1,6.5,6.6,8.7
"USK","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,1.01
"USK","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,0,0,0,12.1,7.8
"USK","27.2.a_NK","TLW","IS",0,0,0,0,0,0,9,0,0.7,0,0,0
"USK","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,10848.4,9848,9247
"POK","27.2.b.2","TLW","RU",442,0,0,0,0,0,0,0,0,0,0,0
"WHB","27.2.a_NK","TLW","DE",0,0,53.03,26.29,37.67,0,0,0,0,0,125.3,1741.3
"WHB","27.2.a_NK","TLW","ES",0,0,0,0,0,0,0,0,0,0,163.5,0
"PLA","27.2.a","TLW","FO",0.411,0,0.013,0,0,70,0,0,0,0,0,0
"WHB","27.2.a_NK","TLW","FR",0,0,0.24,0,0,0,0,0,0,1504.2,1504.2,2315.5
"WHB","27.2.a_NK","TLW","IS",0,0,0,0,0,0,2731,2018,0,2315,59865,100.7
"WHB","27.2.a_NK","TLW","NL",0,0,0,0,0,0,6,11,52,147,92,1635
"WHB","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,3418.6,6530,16483
"POK","27.2.b_NK","TLW","RU",0,160,133,107,85,54,30,10,53,61,72,187
"WHE","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,72.5,21,50
"WHG","27.2.a_NK","TLW","DE",0,0,0,0.06,0,0,0,0,0,0,0.3,0.3
"PLA","27.2.a_NK","TLW","FO",0.411,0,0.013,0,0,70,0,0,0,0,0,0
"WHG","27.2.a_NK","TLW","FR",0,0,0.09,0.48,0.04,0.49,0.18,1.9,0,7.5,7.7,0.1
"WHG","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.02
"WHG","27.2.a_NK","TLW","IE",0,0,0,0,0,0,0,0,0,0,0,10.3
"WHG","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,20.6,25,27
"PRA","27.2","TLW","RU",111,0,35,21,195,0,0,0,0,1,86,3
"WIT","27.2.a_NK","TLW","DE",0,0,0,0,0,0,0,0,0,0,0,0.01
"PLA","27.2.b","TLW","FO",0.119,0.195,0.773,0,0,0,0,0,0,0,0,0
"WIT","27.2.a_NK","TLW","GB",0,0,0,0,0,0,0,0,0,0,0,0.01
"WIT","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,0.01
"WRA","27.2.a_NK","TLW","NO",0,0,0,0,0,0,0,0,0,0,0,4
"ARG","27.2.b","TLW","DE",0.34,0,0,0,0,0,0,0,0,0,0,0
"ARG","27.2.b","TLW","ES",0,0.03,0,0,0,0,0,0,0,0,0,0
"PLA","27.2.b_NK","TLW","FO",0.119,0.195,0.773,0,0,0,0,0,0,0,0,0
"ARG","27.2.b","TLW","NO",0,0.29,0.9,1.55,0,2.31,0,10.54,0,0,0,1
"PRA","27.2.b","TLW","RU",111,0,35,21,195,0,0,0,0,1,86,3
"BAR","27.2.b","TLW","FR",0,0,0,0.08,0,0,0,0,0,0,0,0
"BAR","27.2.b","TLW","PT",0,0,0,0,0,0,0,0,0,0,0,0.1
"BIB","27.2.b","TLW","FR",0,0,0,0.01,0,0.14,0.49,0,0,0,0,0
"BLI","27.2.b","TLW","NO",1.84,0,0,0.09,0,0,0.21,0.26,0.01,0.01,0.01,0.01
"BLL","27.2.b","TLW","FR",0,0,0,0,0,0.01,0,0,0,0,0,0
"BON","27.2.b","TLW","FR",0,0,0,0,0.01,0,0,0,0,0,0,0
"BRB","27.2.b","TLW","FR",0,0,0,0,0.01,0,0,0,0,0,0,0
"BRF","27.2.b","TLW","ES",0,0,0,0,0.02,0,0,0,0,0,0,0
"BRF","27.2.b","TLW","IE",0,0,0.21,0,0,0,0,0,0,0,0,0
"BSS","27.2.b","TLW","FR",0,0,0,0.04,0,0.08,0.38,0,0,0,0,0
"CAA","27.2.b","TLW","ES",4.59,5.6,10.8,8.69,1.19,2.75,0,0,0,0,0,0
"PLE","27.2","TLW","FO",0.002,0.025,0.266,0,0,0,0,0,0,0,0,0
"CAA","27.2.b","TLW","FR",60.64,29.4,25.06,20.46,9.04,0,12.79,0,2.1,24.2,24.2,11.7
"CAA","27.2.b","TLW","GB",54.07,66.13,67.19,67.1,16.39,33.8,26.6,11,11.4,18,33.7,59
"CAA","27.2.b","TLW","IE",0,0,0,0,5.93,0,0,0,9.6,0,9.6,5.1
"CAA","27.2.b","TLW","NO",736.97,468.75,539.39,190.94,254.05,366.36,350.24,364.26,667,314.6,421,314
"CAA","27.2.b","TLW","PL",0.73,2.42,3.6,1.32,0,0,0,0,0,0,0,0
"PRA","27.2.b.2","TLW","RU",111,0,0,0,0,0,0,0,0,0,0,0
"CAB","27.2.b","TLW","DE",9.7,0.25,0,0,0,0,0,0,0,0,0,0
"PLE","27.2.a","TLW","FO",0.002,0.025,0.266,0,0,0,0,0,0,0,0,0
"CAB","27.2.b","TLW","NO",493.88,1254.28,102.24,637.16,800.95,908.78,165.35,41.54,181,448.9,283,509
"CAB","27.2.b","TLW","PL",0.83,3.86,3.52,0,0,0,0,0,0,0,0,0
"PRA","27.2.b_NK","TLW","RU",0,0,35,21,195,0,0,0,0,1,86,3
"CAP","27.2.b","TLW","GL",0,0,0.246,0,0,0,0,0,0,0,0,0
"CAP","27.2.b","TLW","NO",0,0,0,0,0,0,0,0,660,0,0,0
"REB","27.2","TLW","RU",5804,7570,648,1441,3650,4084,5024,6404,3763,6962,5450,10923
"CAS","27.2.b","TLW","DE",58.5,1.91,0,0,0,0,0,0,0,0,0,0
"CAS","27.2.b","TLW","EE",5.21,0,0,0,0,0,0,0,0,0,0,0
"CAS","27.2.b","TLW","ES",0,0.73,0,0,0,0,0,0,0,0,0,0
"CAS","27.2.b","TLW","GL",8.7,3.1,0,0,0,0,0,0,0,0,0,0
"CAS","27.2.b","TLW","IS",0,0,0,0,1,2,0,0,0,0,0,0
"CAS","27.2.b","TLW","NO",1119.48,866.54,1070.86,1938.86,1001.13,1070.54,968.39,598.08,1298,767.9,528,576
"CAS","27.2.b","TLW","PL",23.87,24.24,37.75,15.57,0,0,0,0,0,0,0,0
"REB","27.2.a","TLW","RU",3469,3478,193,1134,3293,3478,4326,5903,3303,6442,5061,10110
"CAT","27.2.b","TLW","DE",0.25,6.21,40.78,128.28,53.68,23.01,17.45,57,36.2,22.2,32.9,15
"CAT","27.2.b","TLW","DK",0,2.61,2.08,0,0,0,0,0,0,0,0,0
"CAT","27.2.b","TLW","ES",15.35,13.25,49.47,33.47,10.92,1.66,5.88,7.3,1.7,13,0,0
"PLE","27.2.a_NK","TLW","FO",0.002,0.025,0.266,0,0,0,0,0,0,0,0,0
"CAT","27.2.b","TLW","GL",3.8,6.3,4.2,6,0,0,0,0,0,0,0,0
"CAT","27.2.b","TLW","IE",0,0,0,0,0,3.13,0,0,0,0,2.2,0
"CAT","27.2.b","TLW","NO",0,0,0,0,235.31,1.46,256.02,142.76,570,377.9,220,287
"CAT","27.2.b","TLW","PL",0,0,0,44.4,56.62,22.36,26.09,0,16,0.2,5.5,2.1
"CAT","27.2.b","TLW","PT",18.01,9.28,0,4.55,5.79,8.32,7.23,32,127,67,107,63.8
"REB","27.2.a.2","TLW","RU",3469,0,0,0,0,0,0,0,0,0,0,0
"CLH","27.2.b","TLW","FR",0,0,0,0,0,0,0,0,1.7,0,0,0
"CMO","27.2.b","TLW","NO",0,1.54,0.85,0.57,1.03,6.56,1.65,3.43,0,2.5,3,0.01
"COD","27.2.b","TLW","DE",2704.69,2265.44,1899.21,3679.1,5363.51,4166.27,3214.62,3838,4665,1379,1972.5,1037.1
"COD","27.2.b","TLW","DK",0,472.48,238.47,0,0,0,0,0,0,0,0,0
"COD","27.2.b","TLW","EE",377.76,0,0,0,0,0,0,0,0,0,0,0
"COD","27.2.b","TLW","ES",10700.68,9252.01,14435.24,8479.69,4415.25,1207.95,12983.88,10167.1,11237,8863,3701,404.7
"POK","27.2","TLW","FO",487.071,629.054,473.337,181,47,104,304,1593,1451,2307,1769,1474
"COD","27.2.b","TLW","FR",4168.92,2530.89,3318.48,3298.17,1812.16,538.34,3173.73,0,0,1306.4,1292.5,1872.1
"COD","27.2.b","TLW","GB",5658.81,4554.51,5717.57,6051.07,6213.2,5683.4,7052.3,4855,3892.8,2882,4087.4,5256
"COD","27.2.b","TLW","GL",1256.6,1062.2,635.2,198,0,0,0,0,0,0,0,0
"COD","27.2.b","TLW","IE",0,0,248.79,0,331.04,152.85,0,0,141.1,0,161.8,55
"COD","27.2.b","TLW","IS",0,0,0,0,273,612,0,0,0,0,0,0
"COD","27.2.b","TLW","LT",0,0,0,0,0,0,4,0,0,0,0,0
"COD","27.2.b","TLW","NO",65665.28,58080.96,64742.56,74521.54,67335.99,45640.53,52644.75,40828.68,53909,29013,27073,34557
"COD","27.2.b","TLW","PL",1372.62,2474.61,2767.4,4132.25,4792.29,3565.57,3768.4,1680.9,1189.5,1137,820.3,568.2
"COD","27.2.b","TLW","PT",1139.23,1660.44,0,568.33,2105.79,2249.42,2007.9,2126,1443,1543,1490,1649
"REB","27.2.a_NK","TLW","RU",0,3478,193,1134,3293,3478,4326,5903,3303,6442,5061,10110
"COE","27.2.b","TLW","FR",0,0,0,0,0.01,0.05,0.1,0,0,0,0,0
"CRQ","27.2.b","TLW","NO",70.83,0,0,0,0,0,0,0,0,0,0,0
"CSH","27.2.b","TLW","NL",0,0,0.5,0.8,0,0,0,0,0,0,0,0
"CTC","27.2.b","TLW","FR",0,0,0,0,0,0,0,0,9.2,0,0,0
"CTL","27.2.b","TLW","FR",0,0,0,0,0,0.06,0,0,0,0,0,0
"CTZ","27.2.b","TLW","FR",0,0,0,0,0.01,0,0,0,0,0,0,0
"DAB","27.2.b","TLW","DE",0,0,10.43,5.12,1.42,0.77,0,0,0.1,0,0,0
"POK","27.2.a","TLW","FO",483.097,625.984,473.261,181,46,104,302,1593,1451,2307,1767,1473
"DAB","27.2.b","TLW","GB",0,0,0,0,0.38,2.4,0.1,0,0,0,0,0
"DAB","27.2.b","TLW","NO",0.25,0.76,0,3.22,0.79,1.11,0,0.41,0,0,0,0
"DGS","27.2.b","TLW","NO",0,0,0,0,0.01,0,0,0,0,0,0,0
"DPX","27.2.b","TLW","ES",22.85,18.85,0,0,0,0,0,0,0,0,0,0
"FIN","27.2.b","TLW","DE",0,0,0,0,21.7,0,5.38,6,68.2,0,0,0.01
"FIN","27.2.b","TLW","ES",25.35,8.54,0,0,0,0,0,0,0,0,0,0
"FIN","27.2.b","TLW","NO",0,0,0,0,0,0,0,0,0,0.01,5,0.01
"FIN","27.2.b","TLW","PT",0,0,0,0,0,0,0,0,0,7,0,0
"FLE","27.2.b","TLW","ES",0,0,0,0,0,0,0,0,0,0.01,0,0
"FLE","27.2.b","TLW","GL",1.3,2,2,0,0,0,0,0,0,0,0,0
"FLE","27.2.b","TLW","NO",0.49,0.19,1.13,0.45,2.62,0,0.79,0,0,0,0,0
"POK","27.2.a_NK","TLW","FO",483.097,625.984,473.261,181,46,104,302,1593,1451,2307,1767,1473
"FLX","27.2.b","TLW","FR",0,0,0,0,0,0.01,0,0,0,0,0,0
"GAD","27.2.b","TLW","ES",30.03,116.88,2.51,12.91,0,0,166.82,64.3,4866.1,269,0,0
"POK","27.2.b","TLW","FO",3.974,3.07,0.076,0,1,0,2,0,0,1,2,1
"GFB","27.2.b","TLW","NO",0,1.68,0.75,1.45,0.89,2.84,0.57,0.51,0.01,1.5,1,1
"GHL","27.2.b","TLW","DE",17.29,0.51,16.58,25.17,48.42,34.9,80.45,14,19.3,1,5.7,6.9
"GHL","27.2.b","TLW","DK",0,2.36,0,0,0,0,0,0,0,0,0,0
"GHL","27.2.b","TLW","EE",4.09,0,0,0,0,0,0,0,0,0,0,0
"GHL","27.2.b","TLW","ES",33.08,27.44,16.68,22.1,10.46,185.71,144.29,188.1,202.2,109,10.9,2.3
"POK","27.2.b_NK","TLW","FO",3.974,3.07,0.076,0,1,0,2,0,0,1,2,1
"GHL","27.2.b","TLW","FR",11.97,9.74,3.82,3.41,10.43,2.86,1.29,0,3.1,2.5,2.5,7.7
"GHL","27.2.b","TLW","GB",45.73,16.65,24.91,13.73,9.45,13.9,36.1,4.2,7.8,10,4.6,2
