"English_name","Scientific_name","X3A_CODE"
"Freshwater breams nei","Abramis spp","FBR"
"Blackbrow bleak","Acanthalburnus microlepis","AHL"
NA,"Acanthobrama lissneri","AHS"
"Kinneret bleak","Acanthobrama terraesanctae","AHT"
"Russian bitterling","Acanthorhodeus asmussii","AHA"
NA,"Acapoeta tanganicae","ATA"
NA,"Acheilognathus rhombeus","ATR"
NA,"Acheilognathus melanogaster","ATN"
"Oily bitterling","Acheilognathus limbatus","ATL"
NA,"Acheilognathus tabira","ATT"
"Chiselmouth","Acrocheilus alutaceus","ARC"
"Longfin dace","Agosia chrysogaster","AGE"
NA,"Albulichthys albuloides","ABA"
"Schneider","Alburnoides bipunctatus","ABI"
NA,"Alburnus albidus","ABD"
"Bleak","Alburnus alburnus","ALR"
"PÃ¡tzcuaro chub","Algansea lacustris","AVL"
NA,"Amblypharyngodon microlepis","ABC"
"Attentive carplet","Amblypharyngodon melettinus","ABL"
"Mola carplet","Amblypharyngodon mola","ABO"
NA,"Amblyrhynchichthys truncatus","ABT"
NA,"Anabarilius polylepis","ANY"
"Kanglang fish","Anabarilius grahami","QNG"
NA,"Anaecypris hispanica","AZH"
NA,"Ancherythroculter nigrocauda","YKQ"
"Chinese bleak","Aphyocypris chinensis","AYH"
NA,"Aspidoparia morar","ARR"
NA,"Aspidoparia jaya","ASJ"
"Pike asp","Aspiolucius esocinus","AUE"
"Big-head schizothoracin","Aspiorhynchus laticeps","YHU"
"Asp","Aspius aspius","ASU"
"Dalmatian barbelgudgeon","Aulopyge huegelii","AUH"
"Tricolor sharkminnow","Balantiocheilos melanopterus","BNB"
NA,"Bangana behri","BNE"
"Kalabans","Bangana dero","DDV"
NA,"Bangana yunnanensis","DDT"
NA,"Barbichthys nitidus","BRN"
NA,"Barbodes platysoma","BBT"
NA,"Barbodes balleroides","BBR"
NA,"Barboides gracilis","BBC"
"Red tailed tinfoil","Barbonymus altus","BBA"
"Tinfoil barb","Barbonymus schwanenfeldii","BFS"
"Silver barb","Barbonymus gonionotus","PTG"
"Somalian blind barb","Barbopsis devecchii","BBV"
NA,"Barbus longiceps","BUN"
"Threespot barb","Barbus trimaculatus","BST"
NA,"Barbus plebejus","BSJ"
NA,"Barbus perince","BSI"
"Straightfin barb","Barbus paludinosus","BUU"
NA,"Barbus neumayeri","BUY"
NA,"Barbus haasi","BUH"
"Papermouth","Barbus mattozi","BSM"
NA,"Barbus tropidolepis","BSO"
"Broadband barb","Barbus macrotaenia","BUI"
"Line-spotted barb","Barbus lineomaculatus","BUL"
NA,"Barbus johnstonii","BUJ"
"Spotscale barb","Barbus holotaenia","BUO"
NA,"Barbus altidorsalis","BBI"
"Largescale yellowfish","Barbus marequensis","BUQ"
NA,"Barbus bynni","BBB"
"Slender barb","Barbus unitaeniatus","BSN"
NA,"Barbus eurystomus","BUE"
"Clanwilliam yellowfish","Barbus capensis","BBJ"
"Smallmouth yellowfish","Barbus aeneus","BBN"
NA,"Barbus canis","BBQ"
"Algerian barb","Barbus callensis","BBK"
"Ripon barbel","Barbus altianalis","BBU"
"Barbel","Barbus barbus","PTB"
"Mediterranean barbel","Barbus meridionalis","BUD"
NA,"Barbus cyclolepis","BBZ"
NA,"Barilius tileo","BRJ"
NA,"Barilius vagra","BRV"
"Trout barb","Barilius bola","BLO"
NA,"Barilius bendelisis","BLD"
NA,"Barilius barna","BLA"
NA,"Barilius shacra","BRH"
NA,"Barilius bakeri","BRR"
NA,"Barilius barila","BRL"
NA,"Biwia zezera","BWZ"
"White bream","Blicca bjoerkna","ABK"
NA,"Boraras brigittae","BOI"
NA,"Brachydanio acuticephala","BDA"
"Congo blind barb","Caecobarbus geertsii","CUG"
NA,"Caecocypris basimi","YCB"
"Largescale stoneroller","Campostoma oligolepis","MPG"
"Central stoneroller","Campostoma anomalum","MPL"
NA,"Capoeta damascina","OED"
"Seven khramulya","Capoeta capoeta","OEC"
"Sharpray","Capoetobrama kuschakewitschi","OEK"
NA,"Carassioides cantonensis","OEN"
"Japanese white crucian carp","Carassius cuvieri","IUV"
"Prussian carp","Carassius gibelio","CWG"
"Crucian carp","Carassius carassius","FCC"
"Goldfish","Carassius auratus","CGO"
NA,"Carassius spp","WDX"
"Catla","Catla catla","CTT"
"Giant barb","Catlocarpio siamensis","TCS"
NA,"Cephalakompsus pachycheilus","PHH"
NA,"Chagunius chagunio","GUH"
"Danube bleak","Chalcalburnus chalcoides","NUC"
"Tarek","Chalcalburnus tarichi","AWT"
"Humpback","Chanodichthys dabryi","HYA"
"Mongolian redfin","Chanodichthys mongolicus","HWQ"
"Predatory carp","Chanodichthys erythropterus","HVY"
"Indian glass barb","Chela laubuca","HEO"
NA,"Chela cachius","HEU"
NA,"Chelaethiops bibie","HEY"
NA,"Chondrostoma toxostoma","HOX"
"Iberian nase","Chondrostoma polylepis","HOY"
NA,"Chondrostoma genei","HOG"
NA,"Chondrostoma soetta","HOS"
"Common nase","Chondrostoma nasus","HON"
"Reba carp","Cirrhinus reba","RNE"
NA,"Cirrhinus cirrhosus","RNR"
"Mud carp","Cirrhinus molitorella","MUC"
"Mrigal carp","Cirrhinus mrigala","CMG"
"Small scale mud carp","Cirrhinus microlepis","RNM"
"Redside dace","Clinostomus elongatus","NOU"
NA,"Coptostomabarbus bellcrossi","PTL"
NA,"Coreius guichenoti","UGH"
NA,"Coreoleuciscus splendidus","UCS"
NA,"Cosmochilus cardinalis","USC"
"Lake chub","Couesius plumbeus","UEP"
NA,"Crossocheilus latius","ILA"
"Grass carp(=White amur)","Ctenopharyngodon idellus","FCG"
NA,"Culter alburnus","LTL"
NA,"Cyclocheilichthys enoplos","YCE"
NA,"Cyclocheilichthys dumerilii","YCD"
"Beardless barb","Cyclocheilichthys apogon","YCA"
NA,"Cyclocheilichthys armatus","YCQ"
"Blacktail shiner","Cyprinella venusta","YPV"
"Proserpine shiner","Cyprinella proserpina","YPP"
NA,"Cyprinella alvarezdelvillari","YPA"
"Red shiner","Cyprinella lutrensis","YPL"
"Bluntface shiner","Cyprinella camura","YPM"
"Alabama shiner","Cyprinella callistia","YPC"
"Spotfin shiner","Cyprinella spiloptera","YPI"
"Satinfin shiner","Cyprinella analostana","YPN"
NA,"Cyprinion watsoni","YPW"
"Barbless carp","Cyprinus pellegrini","FPR"
"Common carp","Cyprinus carpio","FCP"
"Sind danio","Danio devario","DAV"
NA,"Danio dangila","DAD"
"Leopard danio","Danio frankei","DAF"
"Zebra danio","Danio rerio","DAI"
"Giant danio","Danio aequipinnatus","DAE"
NA,"Danionella translucida","DAT"
"Devils River minnow","Dionda diaboli","DID"
"Roundnose minnow","Dionda episcopa","DIE"
"Scaly osman","Diptychus maculatus","DIL"
NA,"Discherodontus ashmeadi","DII"
NA,"Distoechodon tumirostris","DIT"
NA,"Eirmotus octozona","EIO"
"Yellowcheek","Elopichthys bambusa","ELM"
"Lake Malawi sardine","Engraulicypris sardella","ENL"
"Redtail sharkminnor","Epalzeorhynchos bicolor","EPB"
"Flying fox","Epalzeorhynchos kalopterus","EQQ"
"Desert dace","Eremichthys acros","ERA"
"Streamline chub","Erimystax dissimilis","ERD"
"Flying barb","Esomus danricus","ESD"
"Lake minnow","Eupallasella perenurus","EUE"
NA,"Evarra bustamantei","EVU"
"Cutlips minnow","Exoglossum maxillingua","EXM"
NA,"Garra tibanica","GRI"
NA,"Garra lamta","GRK"
NA,"Garra gotyla","GRT"
NA,"Garra mullya","GRU"
NA,"Garra ghorensis","GRG"
NA,"Garra dembeensis","GRD"
NA,"Garra rufa","GRR"
"Chihuahua chub","Gila nigrescens","GIN"
"Bonytail","Gila elegans","GIE"
"Utah chub","Gila atraria","GIA"
"Humpback chub","Gila cypha","GIC"
"Tui chub","Gila bicolor","GIB"
"Roundtail chub","Gila robusta","GIR"
NA,"Gnathopogon caerulescens","GNA"
NA,"Gnathopogon elongatus","GNE"
"White-finned gudgeon","Gobio albipinnatus","GOP"
"Gudgeon","Gobio gobio","GOG"
NA,"Gobiobotia brevibarba","GOR"
NA,"Gymnocypris biswasi","GYW"
NA,"Gymnodiptychus pachycheilus","WYG"
"Naked osman","Gymnodiptychus dybowskii","WSK"
NA,"Hampala dispar","HMD"
NA,"Hampala salweenensis","IJM"
"Hampala barb","Hampala macrolepidota","HML"
"Barbel steed","Hemibarbus labeo","HME"
"Spotted steed","Hemibarbus maculatus","UMM"
"Sharpbelly","Hemiculter leucisculus","HMU"
NA,"Hemigrammocapoeta kemali","HMK"
"Garnet minnow","Hemigrammocypris lini","HMI"
"Flame chub","Hemitremia flammea","HMF"
NA,"Henicorhynchus caudimaculatus","HNC"
"Siamese mud carp","Henicorhynchus siamensis","HNZ"
"California roach","Hesperoleucus symmetricus","HSY"
NA,"Horadandia atukorali","HRA"
"Plains minnow","Hybognathus placitus","HBP"
"Silver carp","Hypophthalmichthys molitrix","SVC"
"Bighead carp","Hypophthalmichthys nobilis","BIC"
"Silver, bighead carps nei","Hypophthalmichthys spp","HXP"
"Jerdon's carp","Hypselobarbus jerdoni","PUJ"
NA,"Hypselobarbus curmuca","HYC"
NA,"Hypsibarbus lagleri","HYL"
NA,"Hypsibarbus pierrei","YXC"
NA,"Hypsibarbus wetmorei","YXE"
NA,"Hypsibarbus spp","YHX"
NA,"Iberocypris palaciosi","IBP"
NA,"Inlecypris auropurpureus","INA"
"Least chub","Iotichthys phlegethontis","IOP"
"Iran cave barb","Iranocypris typhlops","IRT"
NA,"Kalimantania lawak","KAL"
NA,"Labeo kontius","LBJ"
NA,"Labeo fuelleborni","LBN"
NA,"Labeo angra","LBG"
NA,"Labeo ariza","LBZ"
NA,"Labeo bata","LBB"
NA,"Labeo boga","LBO"
"Orange River mudfish","Labeo capensis","LBP"
NA,"Labeo coubie","LBU"
"Redeye labeo","Labeo cylindricus","LBY"
NA,"Labeo darlingi","LBL"
NA,"Labeo dero","LBD"
NA,"Labeo dyocheilus","LBH"
"Rednose labeo","Labeo altivelis","LBV"
NA,"Labeo forskalii","LBK"
NA,"Labeo pangusia","LOH"
"Black sharkminnow","Labeo chrysophekadion","MOH"
"Kuria labeo","Labeo gonius","LBI"
NA,"Labeo sindensis","LOD"
"Fringed-lipped peninsula carp","Labeo fimbriatus","LBF"
NA,"Labeo rosae","LOE"
"Moggel","Labeo umbratus","EOU"
NA,"Labeo niloticus","LOL"
NA,"Labeo nandina","LON"
NA,"Labeo microphthalmus","LOI"
NA,"Labeo mesops","LOM"
NA,"Labeo horie","LBQ"
NA,"Labeo dussumieri","LBM"
"Orangefin labeo","Labeo calbasu","LCB"
"Ningu","Labeo victorianus","LOC"
"Roho labeo","Labeo rohita","LRH"
"Rhinofishes nei","Labeo spp","RHI"
NA,"Labiobarbus leptocheilus","LUE"
NA,"Labiobarbus ocellatus","LZW"
NA,"Labiobarbus siamensis","JEG"
NA,"Labiobarbus fasciatus","LZQ"
"Signal barb","Labiobarbus festivus","LZF"
NA,"Ladigesocypris ghigii","LDG"
"Tachanovsky's gudgeon","Ladislavia taczanowskii","LDT"
"Czekanowski's minnow","Lagowskiella czekanowskii","LWG"
"Hitch","Lavinia exilicauda","LVE"
"Little Colorado spinedace","Lepidomeda vittata","LPV"
NA,"Lepidopygopsis typus","LPT"
"Hoven's carp","Leptobarbus hoeveni","FCH"
NA,"Leptocypris guineensis","LPG"
NA,"Leptocypris niloticus","LPN"
NA,"Leucalburnus kosswigi","LPK"
"Belica","Leucaspius delineatus","LUD"
NA,"Leuciscus polylepis","LUP"
"Vairone","Leuciscus souffia","LUS"
NA,"Leuciscus pyrenaicus","LUR"
NA,"Leuciscus cephaloides","LUC"
"Dnieper chub","Leuciscus borysthenicus","LUY"
"Schmidt's dace","Leuciscus schmidti","VLS"
"Siberian dace","Leuciscus baicalensis","JNE"
"Issyk-Kul dace","Leuciscus bergi","VLB"
"Orfe(=Ide)","Leuciscus idus","FID"
"Common dace","Leuciscus leuciscus","FIE"
"Chub","Leuciscus cephalus","LUH"
"Chubs nei","Leuciscus spp","LEW"
NA,"Lobocheilos bo","LCO"
NA,"Longiculter siahi","LCI"
NA,"Luciobarbus graellsii","BUG"
"Andalusian barbel","Luciobarbus sclateri","BSL"
"Bulatmai barbel","Luciobarbus capito","WLC"
NA,"Luciobarbus bocagei","LWD"
NA,"Luciobarbus comizo","LWK"
NA,"Luciosoma bleekeri","LCK"
"Common shiner","Luxilus cornutus","LXO"
"Striped shiner","Luxilus chrysocephalus","LXC"
"Cherryfin shiner","Lythrurus roseipinnis","LYR"
"Ouachita shiner","Lythrurus snelsoni","LYS"
"Speckled chub","Macrhybopsis aestivalis","MCV"
"Long pectoral-fin minnow","Macrochirichthys macrochirus","MCO"
NA,"Mandibularca resinus","MDE"
"Pearl dace","Margariscus margarita","MGM"
"Spikedace","Meda fulgida","MDF"
"Wuchang bream","Megalobrama amblycephala","WUB"
"Black Amur bream","Megalobrama terminalis","WUT"
NA,"Mekongina erythrospila","MKE"
"River sardine","Mesobola brevianalis","MSB"
NA,"Microphysogobio koreensis","MYK"
NA,"Microrasbora erythromicron","MCY"
"Moapa dace","Moapa coriacea","MOC"
NA,"Moroco steindachneri","MOI"
"Peamouth","Mylocheilus caurinus","MHC"
"Hardhead","Mylopharodon conocephalus","MHO"
"Black carp","Mylopharyngodon piceus","BKC"
NA,"Mystacoleucus argenteus","MSG"
NA,"Mystacoleucus marginatus","MJZ"
NA,"Mystacoleucus atridorsalis","JVJ"
NA,"Mystacoleucus padangensis","MZP"
NA,"Nematabramis alestes","NEL"
NA,"Neobola moeruensis","NEO"
NA,"Neolissochilus blanci","NEI"
"Copper mahseer","Neolissochilus hexagonolepis","ARH"
"River chub","Nocomis micropogon","NOI"
"Bluehead chub","Nocomis leptocephalus","NOH"
"Hornyhead chub","Nocomis biguttatus","NOB"
"Golden shiner","Notemigonus crysoleucas","NMC"
"Yellowfin shiner","Notropis lutipinnis","NTN"
"Rosyface shiner","Notropis rubellus","NTQ"
"Emerald shiner","Notropis atherinoides","NTA"
"Longnose shiner","Notropis longirostris","NTL"
"Red River shiner","Notropis bairdi","NTB"
"Flagfin shiner","Notropis signipinnis","NRS"
"Sand shiner","Notropis stramineus","NRT"
"Weed shiner","Notropis texanus","NRX"
"Ozark minnow","Notropis nubilus","NTS"
"Bigeye shiner","Notropis boops","NTP"
"Bedrock shiner","Notropis rupestris","NTI"
"Spottail shiner","Notropis hudsonius","NTU"
"Blacknose shiner","Notropis heterolepis","NTR"
"Blackchin shiner","Notropis heterodon","NTE"
"Arkansas River shiner","Notropis girardi","NTG"
"Bigmouth shiner","Notropis dorsalis","NTD"
"Mimic shiner","Notropis volucellus","NRV"
NA,"Ochetobius elongatus","OCE"
"Taiwan ku fish","Onychostoma alticorpus","ONL"
"Lake salmon","Opsaridium microlepis","OPL"
NA,"Opsariichthys bidens","OPD"
"Pugnose minnow","Opsopoeodus emiliae","OPQ"
"Oregon chub","Oregonichthys crameri","OGC"
NA,"Oreichthys cosuatis","OHC"
NA,"Oreoleuciscus handlirschi","OUH"
"Sacramento blackfish","Orthodon microlepidotus","OHM"
NA,"Ospatulus palaemophagus","OUP"
NA,"Osteobrama cotio","OBC"
"Manipur osteobrama","Osteobrama belangeri","OBL"
NA,"Osteochilus spilurus","OSS"
NA,"Osteochilus melanopleurus","OSE"
"Nilem carp","Osteochilus hasselti","FCN"
NA,"Oxygaster anomalura","OXA"
NA,"Oxygaster pointoni","QDU"
NA,"Pachychilon macedonicum","PHM"
"White amur bream","Parabramis pekinensis","WAB"
NA,"Parachela cyanea","PHC"
NA,"Parachela oxygastroides","PZI"
NA,"Parachela siamensis","QED"
NA,"Paracrossochilus acerus","PHQ"
NA,"Paralaubuca barroni","PUB"
NA,"Parapsilorhynchus tentaculatus","PYT"
NA,"Pararasbora moltrechti","PAJ"
NA,"Parazacco vuquangensis","PZV"
NA,"Parluciosoma labiosa","PUL"
NA,"Pectenocypris balaena","PYB"
"Sichel","Pelecus cultratus","FSC"
NA,"Percocypris pingi","YKI"
"Riffle minnow","Phenacobius catostomus","PHK"
NA,"Phoxinellus adspersus","PXA"
"Eurasian minnow","Phoxinus phoxinus","PXP"
"Northern redbelly dace","Phoxinus eos","PXE"
"Finescale dace","Phoxinus neogaeus","PXN"
"Southern redbelly dace","Phoxinus erythrogaster","PXY"
"Blackside dace","Phoxinus cumberlandensis","PXC"
"Somalian cavefish","Phreatichthys andruzzii","PYI"
"Fathead minnow","Pimephales promelas","PMP"
"Smallscale yellowfin","Plagiognathops microlepis","PLI"
"Woundfin","Plagopterus argentissimus","PLT"
"Flathead chub","Platygobio gracilis","PLC"
NA,"Platypharodon extremus","PLX"
"Splittail","Pogonichthys macrolepidotus","PGC"
NA,"Poropuntius deauratus","PTD"
"Isok barb","Probarbus jullieni","PRJ"
NA,"Procypris merus","PCE"
"Rock carp","Procypris rabaudi","QPQ"
NA,"Prolabeo batesi","PBB"
NA,"Prolabeops melanhypoptera","PBM"
"Redfin","Pseudaspius leptocephalus","PDL"
"Smallscale redfin","Pseudobarbus asper","PDS"
NA,"Pseudogobio esocinus","PDE"
NA,"Pseudolaubuca jouyi","PDJ"
NA,"Pseudoperilampus hondae","PDH"
NA,"Pseudophoxinus stymphalicus","PDY"
NA,"Pseudopungtungia nigra","PDN"
"Stone moroko","Pseudorasbora parva","PDP"
NA,"Ptychidio jordani","PTJ"
NA,"Ptychobarbus conirostris","PTO"
"Sacramento squawfish","Ptychocheilus grandis","PTI"
NA,"Pungtungia herzi","PGH"
NA,"Puntioplites bulu","PUQ"
NA,"Puntioplites proctozystron","WPP"
NA,"Puntioplites waandersi","WPU"
"Sumatra barb","Puntius tetrazona","PUT"
"Ticto barb","Puntius ticto","PUW"
NA,"Puntius orphoides","PUD"
NA,"Puntius amphibius","PUH"
"Pool barb","Puntius sophore","PUR"
"Arulius barb","Puntius arulius","PUU"
"Blackspot barb","Puntius filamentosus","PUM"
"Rosy barb","Puntius conchonius","PUO"
"Spanner barb","Puntius lateristriga","FZP"
"Spotted barb","Puntius binotatus","PUI"
"Asian barbs nei","Puntius spp","FAB"
NA,"Raiamas ansorgii","PUK"
"Harlequin rasbora","Rasbora heteromorpha","RST"
NA,"Rasbora elanga","RSG"
"Slender rasbora","Rasbora daniconius","RAD"
"Gangetic scissortail rasbora","Rasbora rasbora","RSR"
NA,"Rasbora tawarensis","RRZ"
"Twospot rasbora","Rasbora elegans","RWS"
"Brilliant rasbora","Rasbora einthovenii","RSV"
"Silver rasbora","Rasbora argyrotaenia","RSZ"
NA,"Rasborichthys helfrichii","RSF"
NA,"Rasborinus lineatus","RSL"
"Silver cyprinid","Rastrineobola argentea","ENA"
NA,"Rectoris posehensis","REH"
"Relict dace","Relictus solitarius","RET"
"Blacknose dace","Rhinichthys atratulus","RHQ"
"Longnose dace","Rhinichthys cataractae","RHW"
"Speckled dace","Rhinichthys osculus","RHV"
"Rosy bitterling","Rhodeus ocellatus","ROO"
NA,"Rhodeus amarus","RHM"
"Bitterling","Rhodeus sericeus","ROR"
"Redside shiner","Richardsonius balteatus","RIL"
"Vatani rohtee","Rohtee ogilbii","ROG"
NA,"Rohteichthys microlepis","ROI"
"Amur whitefin gudgeon","Romanogobio tenuicorpus","ROU"
NA,"Rutilus lemmingii","RFZ"
NA,"Rutilus alburnoides","RLA"
NA,"Rutilus rubilio","RTR"
"Roach","Rutilus rutilus","FRO"
"Caspian roach","Rutilus caspicus","RWC"
"Kutum","Rutilus frisii","RFR"
"Roaches nei","Rutilus spp","FRX"
"Large razorbelly minnow","Salmostoma bacaila","SLB"
NA,"Sanagia velifera","SNV"
"Rainbow gudgeon","Sarcocheilichthys nigripinnis","SHP"
"Chinese lizard gudgeon","Saurogobio dabryi","SUB"
NA,"Sawbwa resplendens","SWE"
NA,"Scaphognathops bandanensis","SGB"
"Rudd","Scardinius erythrophthalmus","SRE"
NA,"Schismatorhynchos heterorhynchos","SRT"
NA,"Schizocypris brucei","SZB"
NA,"Schizopygopsis pylzovi","SZP"
NA,"Schizothorax esocinus","SZE"
"Common snowtrout","Schizothorax richardsonii","SZR"
NA,"Schizothorax davidi","QEA"
NA,"Schizothorax cryptolepis","QEB"
NA,"Schizothorax yunnanensis","SWZ"
"Blunt- nosed snowtrout","Schizothorax molesworthi","QER"
NA,"Schizothorax plagiostomus","QET"
"Dinnawah snowtrout","Schizothorax progastus","QES"
NA,"Schizothorax prenanti","QEC"
"Sattar snowtrout","Schizothorax curvifrons","SZU"
"Snowtrouts nei","Schizothorax spp","QEZ"
NA,"Securicula gora","SLG"
NA,"Semilabeo notabilis","SMN"
"Creek chub","Semotilus atromaculatus","SMU"
NA,"Sikukia gudgeri","SKG"
NA,"Sinibrama macrops","SNM"
NA,"Sinilabeo decorus","SND"
NA,"Sinocyclocheilus anatirostris","SNT"
"Golden-line barbel","Sinocyclocheilus grahami","YGH"
NA,"Spinibarbus denticulatus","SBD"
NA,"Spinibarbus sinensis","WSS"
NA,"Spratellicypris palata","SIT"
NA,"Squalidus biwae","SQB"
"Barbel chub","Squaliobarbus curriculus","SQK"
"Stumptooth minnow","Stypodon signifer","SDG"
NA,"Systomus brevis","SMB"
NA,"Systomus partipentazona","QNT"
"Olive barb","Systomus sarana","PUS"
"Tokyo bitterling","Tanakia tanago","TKT"
"White cloud mountain minnow","Tanichthys albonubes","TYA"
NA,"Thryssocypris ornithostoma","TYO"
NA,"Thynnichthys thynnoides","TYT"
NA,"Thynnichthys sandkhol","TYD"
NA,"Thynnichthys vaillanti","TWY"
"Loach minnow","Tiaroga cobitis","TGC"
"Tench","Tinca tinca","FTE"
NA,"Tor khudree","TOK"
NA,"Tor soro","TZS"
NA,"Tor tambra","QPC"
"Putitor mahseer","Tor putitora","PTP"
"Tor barb","Tor tor","PTT"
"Semah mahseer","Tor douronensis","TZD"
"Thai mahseer","Tor tambroides","TOB"
"Big-scaled redfin","Tribolodon hakonensis","TFZ"
NA,"Tribolodon taczanowskii","TBT"
"Far Eastern ide","Tribolodon brandtii","ZTB"
NA,"Tropidophoxinellus hellenicus","TPH"
NA,"Typhlobarbus nudiventris","TPN"
"Iraq blind barb","Typhlogarra widdowsoni","TPW"
"African scraping feeder","Varicorhinus beso","VBE"
"Vimba bream","Vimba vimba","VIV"
"Macedonian vimba","Vimba melanops","VIM"
NA,"Xenobarbus loveridgei","XEL"
"Yellowfin","Xenocypris argentea","XEA"
NA,"Xenocypris davidi","XJB"
NA,"Zacco taliensis","ZAQ"
"Freshwater minnow","Zacco platypus","ZAP"
"Siamese algae-eater","Gyrinocheilus aymonieri","GXM"
NA,"Psilorhynchus sucatio","PSI"
"Cichlids nei","Cichlidae","CIX"
"Threadfin acara","Acarichthys heckelii","AIK"
NA,"Acaronia vultuosa","AAV"
NA,"Aequidens portalegrensis","AQP"
"Blue acara","Aequidens pulchrus","AQU"
"Green terror","Aequidens rivulatus","AER"
NA,"Alticorpus macrocleithrum","AIE"
NA,"Altolamprologus calvus","AGV"
"Midas cichlid","Amphilophus citrinellus","AII"
NA,"Anomalochromis thomasi","AKT"
NA,"Apistogramma agassizii","ARZ"
NA,"Apistogramma trifasciata","GAF"
NA,"Apistogrammoides pucallpaensis","GDS"
"Flier cichlid","Archocentrus centrarchus","HOK"
NA,"Aristochromis christyi","RKC"
NA,"Asprotilapia leptura","RTT"
NA,"Astatoreochromis alluaudi","RCJ"
"Oscar","Astronotus ocellatus","TOC"
"Velvety cichlids","Astronotus spp","AST"
NA,"Aulonocara auditor","ULD"
NA,"Aulonocranus dewindti","ULW"
NA,"Baileychromis centropomoides","BCK"
NA,"Bathybates ferox","BHX"
NA,"Bathybates minor","IBZ"
NA,"Benthochromis tricoti","BMI"
